Assays,date,treatment,SynCom9,pot_nr.,shoot_fresh_weight,shoot_dry_weight,roots_fresh_weight,roots_dry_weight
Experiment 1,30.05.22,lowP_control,no,1,31.47,3.34,9.2,0.92
Experiment 1,30.05.22,lowP_control,no,2,41.62,4.38,19.05,2.31
Experiment 1,30.05.22,lowP_control,no,3,43.4,4.75,18.44,2.03
Experiment 1,30.05.22,lowP_control,no,4,36.91,3.71,10.71,1.17
Experiment 1,30.05.22,lowP_control,no,5,36.96,2.94,17.76,2.07
Experiment 1,30.05.22,lowP_SynCom9,yes,1,111.1,10.2,16.25,1.66
Experiment 1,30.05.22,lowP_SynCom9,yes,2,74.44,6.13,28.4,3.21
Experiment 1,30.05.22,lowP_SynCom9,yes,3,48.25,3.94,46.03,5.26
Experiment 1,30.05.22,lowP_SynCom9,yes,4,94.85,9.26,36.61,4.63
Experiment 1,30.05.22,lowP_SynCom9,yes,5,85.09,8.29,24.5,2.85
Experiment 1,30.05.22,lowP_SynCom9,yes,6,68.13,4.06,16.15,1.88
Experiment 1,30.05.22,lowP_SynCom9,yes,7,85.73,6.81,26.07,3.13
Experiment 1,30.05.22,lowP_SynCom9,yes,8,70.35,6.62,20.38,2.2
Experiment 1,30.05.22,lowP_SynCom9,yes,9,62.55,6.49,38.61,4.26
Experiment 1,30.05.22,lowP_SynCom9,yes,10,76.18,7.57,24.52,3.07
Experiment 1,30.05.22,highP_control,no,1,137.53,11.87,30.4,2.6
Experiment 1,30.05.22,highP_control,no,2,107.01,9.58,23.18,2.05
Experiment 1,30.05.22,highP_control,no,3,67.4,6.53,26.6,3.17
Experiment 1,30.05.22,highP_control,no,4,125.62,11.48,15.29,1.82
Experiment 1,30.05.22,highP_control,no,5,78.8,8.14,13.95,1.26
Experiment 1,30.05.22,highP_SynCom9,yes,1,116.09,10.08,32.88,4.3
Experiment 1,30.05.22,highP_SynCom9,yes,2,110.59,9.51,16.98,1.76
Experiment 1,30.05.22,highP_SynCom9,yes,3,72.71,7.17,18.82,1.72
Experiment 1,30.05.22,highP_SynCom9,yes,4,109.88,9.68,27.92,2.99
Experiment 1,30.05.22,highP_SynCom9,yes,5,91.83,7.6,24.28,2.27
Experiment 1,30.05.22,highP_SynCom9,yes,6,92.19,8.02,19.92,2.26
Experiment 1,30.05.22,highP_SynCom9,yes,7,126.79,11.53,35.16,3.24
Experiment 1,30.05.22,highP_SynCom9,yes,8,88.34,8.77,26.19,1.91
Experiment 1,30.05.22,highP_SynCom9,yes,9,91.1,9.04,28.57,3.06
Experiment 1,30.05.22,highP_SynCom9,yes,10,157.7,13.27,18.59,2.43
Experiment 2,04.07.22,lowP_SynCom9,yes,1,87.62,7.75,,
Experiment 2,04.07.22,lowP_SynCom9,yes,2,84.09,8.03,,
Experiment 2,04.07.22,lowP_SynCom9,yes,3,89.12,8.68,,
Experiment 2,04.07.22,lowP_SynCom9,yes,4,46.46,4.55,,
Experiment 2,04.07.22,lowP_SynCom9,yes,5,62.98,6.55,,
Experiment 2,04.07.22,lowP_SynCom9,yes,6,75.82,7.23,,
Experiment 2,04.07.22,lowP_SynCom9,yes,7,108.79,10.09,,
Experiment 2,04.07.22,lowP_SynCom9,yes,8,96.2,9.08,,
Experiment 2,04.07.22,lowP_SynCom9,yes,9,61.66,5.59,,
Experiment 2,04.07.22,lowP_SynCom9,yes,10,64.81,5.79,,
Experiment 2,04.07.22,highP_control,no,1,76.84,6.31,,
Experiment 2,04.07.22,highP_SynCom9,yes,1,112.51,10.38,,
Experiment 2,04.07.22,highP_SynCom9,yes,2,143.12,14.41,,
Experiment 2,04.07.22,highP_SynCom9,yes,3,165.55,13,,
Experiment 2,04.07.22,highP_SynCom9,yes,4,137.8,13.06,,
Experiment 2,04.07.22,highP_SynCom9,yes,5,142.49,11.26,,
Experiment 2,04.07.22,highP_SynCom9,yes,6,119.53,8.94,,
Experiment 2,04.07.22,highP_SynCom9,yes,7,100.62,9.64,,
Experiment 2,04.07.22,highP_SynCom9,yes,8,162.8,13.45,,
Experiment 2,04.07.22,highP_SynCom9,yes,9,48.05,4.88,,
Experiment 2,04.07.22,highP_SynCom9,yes,10,92.44,8.05,,
Experiment 3,11.07.22,lowP_control,no,1,23.86,2.71,10.01,1.03
Experiment 3,11.07.22,lowP_control,no,2,23.73,2.7,7.05,0.59
Experiment 3,11.07.22,lowP_SynCom9,yes,1,116.26,10.52,42.52,3
Experiment 3,11.07.22,lowP_SynCom9,yes,2,84.1,8.35,54.08,3.32
Experiment 3,11.07.22,lowP_SynCom9,yes,3,83.14,7.89,30.74,2.96
Experiment 3,11.07.22,lowP_SynCom9,yes,4,72.68,6.84,28.91,7.35
Experiment 3,11.07.22,lowP_SynCom9,yes,5,108.22,10.15,34.62,5.21
Experiment 3,11.07.22,lowP_SynCom9,yes,6,58.23,5.48,22.28,2
Experiment 3,11.07.22,lowP_SynCom9,yes,7,51.24,5.09,54.14,5
Experiment 3,11.07.22,lowP_SynCom9,yes,8,90.7,8.26,51.73,6.63
Experiment 3,11.07.22,lowP_SynCom9,yes,9,93.83,9.3,37.88,3.44
Experiment 3,11.07.22,lowP_SynCom9,yes,10,65.84,5.9,19.56,2.66
Experiment 3,11.07.22,highP_control,no,1,70.05,7.14,14.75,0.94
Experiment 3,11.07.22,highP_SynCom9,yes,1,180.97,15.52,34.16,2.91
Experiment 3,11.07.22,highP_SynCom9,yes,2,187.82,17.03,35.67,2.85
Experiment 3,11.07.22,highP_SynCom9,yes,3,197.52,16.31,46.46,4.1
Experiment 3,11.07.22,highP_SynCom9,yes,4,135.8,12.98,28.11,2.54
Experiment 3,11.07.22,highP_SynCom9,yes,5,145.26,12.36,34.97,2.69
Experiment 3,11.07.22,highP_SynCom9,yes,6,158.8,14.22,32.26,3.24
Experiment 3,11.07.22,highP_SynCom9,yes,7,118.58,10.88,60.18,4.7
Experiment 3,11.07.22,highP_SynCom9,yes,8,182.19,15.55,31.5,2.89
Experiment 3,11.07.22,highP_SynCom9,yes,9,136.22,12.55,53.6,4.33
Experiment 3,11.07.22,highP_SynCom9,yes,10,184.6,17.08,40.68,3.02